[19:43:07	]S10/OSL.SAVAGE-37 exited observer at their location.
[19:43:15	]S10/OSL.SAVAGE-37 entered observer.
[19:43:20	]S10/OSL.SAVAGE-37 exited observer at their location.
[19:43:30	]S10/OSL.SAVAGE-37 entered observer.
[19:43:48	]S10/OSL.SAVAGE-37 exited observer at their location.
[19:43:49	]S10/OSL.SAVAGE-37 entered observer.
[19:44:00	]S10/OSL.SAVAGE-37 exited observer at their location.
[19:44:19	]S10/OSL.SAVAGE-37 entered observer.
[19:44:28	]S10/OSL.SAVAGE-37 exited observer at their location.
[19:44:29	]S10/OSL.SAVAGE-37 entered observer.
[19:44:32	]S10/OSL.SAVAGE-37 exited observer at their location.
[19:44:44	]S10/OSL.SAVAGE-37 entered observer.
[19:44:50	]S10/OSL.SAVAGE-37 exited observer at their location.
[19:44:52	]S10/OSL.SAVAGE-37 entered observer.
[19:44:53	]S10/OSL.SAVAGE-37 exited observer at their location.
[19:47:57	]S10/OSL.SAVAGE-37 entered observer.
[19:48:11	]S10/OSL.SAVAGE-37 exited observer at their location.
[19:48:15	]S10/OSL.SAVAGE-37 has spawned a 'NPC [4791][npc_monk]'.
